"","Species","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","troph_level","Dim.1","Dim.2"
"242","Lepomis auritus",30.5,2.099393081,0.541623076,0.304964539,0.416639368,0.387744681,0.496665997,0.323861455,0.218364673,2.372348955,3.24,-2.62097896250845,0.638355509808445
"243","Lepomis cyanellus",31,2.418047256,0.572431215,0.30877193,0.48164257,0.566470175,0.550433201,0.302440833,0.211780812,2.507163324,3.49,-1.75920107553127,0.669392050477933
"244","Lepomis gibbosus",40,2.148928303,0.523731719,0.330129489,0.464434835,0.301593427,0.494616905,0.318648272,0.250377931,2.415496154,3.25,-2.78343820178424,0.805171741573255
"245","Lepomis gulosus",31,2.380418601,0.656447212,0.432426311,0.639960352,0.558773093,0.473128485,0.320984772,0.234362967,2.828672096,3.35,-1.92067536105134,1.68032662109883
"246","Lepomis humilis",15,2.2138215,0.519635589,0.3984375,0.429411808,0.399125,0.466819355,0.349184525,0.247897519,2.704383792,3.61,-2.55973899509818,1.27004151564014
"247","Lepomis macrochirus",41,1.899540662,0.53012832,0.285712472,0.489906007,0.277191891,0.514919493,0.3382264,0.300838867,2.975986278,3.24,-3.47720897137224,1.34211718001073
"248","Lepomis marginatus",12,2.122495576,0.515778473,0.379359679,0.409744146,0.312674158,0.527870839,0.312574919,0.283171836,2.603256389,3.3,-2.85500894150275,1.78044210841389
"249","Lepomis megalotis",24,2.035674223,0.551248096,0.272805195,0.436860496,0.370188312,0.551921871,0.360738285,0.255103837,2.643664085,3.64,-2.5207308599325,1.18721981926142
"250","Lepomis microlophus",43.2,2.300558419,0.467191628,0.319605616,0.362397668,0.323198718,0.495481806,0.308141247,0.300112226,2.126116509,3.5,-2.85835667721315,0.618203037671374
"251","Lepomis miniatus",16,2.164684139,0.588233772,0.41779447,0.529410865,0.299667123,0.468283277,0.331794134,0.236996067,2.082451343,3.4,-2.31309568926418,1.7232168779959
"252","Lepomis punctatus",20,2.230021492,0.531263995,0.416657764,0.453128035,0.371842482,0.478525111,0.3338582,0.243739738,2.0471017,3.4,-2.41735162154875,1.31934501401556
"253","Leporinus friderici",40,3.39105718,0.472554325,0.360283086,0.464835413,0.264668959,0.50679422,0.21533933,0.168423037,3.334068424,3.26,-1.2677777145411,-0.770227400327276
"254","Leporinus lacustris",24,2.700861854,0.514284187,0.397062702,0.499342529,0.208862538,0.403024221,0.241305009,0.1531142,2.098586573,3.72,-1.65024299766842,-0.313119864041058
"255","Leucaspius delineatus",12,4.33928169,0.433064294,0.472083149,0.47113322,0.472242674,0.680182624,0.12047509,0.15772719,3.089545793,3.24,0.0816823125987807,-0.0679684863542983
"256","Leuciscus aspius",120,3.995498524,0.591368334,0.226139983,0.562939922,0.659581401,0.427810753,0.346982617,0.174020601,2.212635366,4.46999979019165,0.265626469065466,-1.34198136481701
"257","Leuciscus burdigalensis",40,4.088354127,0.497896326,0.408502122,0.319111824,0.369156594,0.485192651,0.250707591,0.166581396,2.993740354,2.8,-0.650885981489105,-0.794451917304233
"258","Leuciscus idus",85,3.583934434,0.520366586,0.406840754,0.542585138,0.460805228,0.465069806,0.240230979,0.185600454,2.150565321,3.79,-0.64103958897613,-0.729017747228711
"259","Leuciscus leuciscus",40,4.559024887,0.476097198,0.443884164,0.324335707,0.359510662,0.551620454,0.226099646,0.163173148,2.808990347,2.87,-0.0669911153238069,-0.801247499300129
"260","Loricariichthys platymetopon",38.3,8.259375543,0.682214181,0.242457869,0,0,0.628951691,0,0.134505745,5.435635367,2.45000004768372,1.97623856501317,-2.52600165771686
"261","Loricariichthys rostratus",28,9.048411307,0.667455394,0.263444308,0,0,0.645026922,0,0.154211743,2.62137037080625,2.6,2.85160960416605,-2.04223147305031
"262","Lota lota",152,7.373325701,0.773211219,0.481078462,0.524813967,0.782215076,0.649656554,0.658757871,0.123253268,1.758428693,3.84,4.43176894407766,0.485884625543891
"263","Lucania parva",6.2,3.646698228,0.50482058,0.559133759,0.492203082,0.168296951,0.586783449,0.375394814,0.177438578,1.621360188,3.2,0.0650528813414701,1.76446097158467
"264","Luxilus chrysocephalus",24,3.026113142,0.483371139,0.257130613,0.385708873,0.249254797,0.516678066,0.14524851,0.15942439,3.088623188,3.27,-1.62098041256266,-1.00709811503962
"265","Luxilus coccogenis",14,4.169817808,0.534878878,0.449228814,0.496837558,0.606686441,0.571467315,0.158291603,0.134695456,3.036460747,3,0.00833081437877379,-0.0513912894739299
"266","Luxilus cornutus",18,3.5826209,0.53351614,0.442392068,0.485282688,0.412803311,0.535479422,0.203752951,0.196708096,2.963767242,2.75,-0.988261247637939,0.553299737696135
"267","Luxilus zonistius",10,4.1600125,0.576705,0.515112537,0.5300425,0.553068868,0.55004,0.2333325,0.163447225,2.778514929,3,0.147765347834432,0.942931785811739
"268","Lythrurus fumeus",7,5.26646194,0.531550802,0.702502185,0.540615238,0.543743298,0.569488714,0.193745257,0.135365931,2.636223837,3.2,1.15898295327147,0.941835819779255
"269","Lythrurus umbratilis",9,3.758229128,0.575468239,0.448330083,0.57547864,0.562526832,0.502713357,0.239014611,0.17170056,3.231638864,3.03,-0.500761913136446,0.900412650312353
"270","Macquaria ambigua",76,2.81470212,0.533494692,0.28644898,0.554399917,0.698061224,0.33885412,0.343114,0.189194634,2.56318629,3.69,-1.88724633803047,-0.722864647920749
"271","Percalates novemaculeatus",60,2.940020119,0.463121085,0.338011628,0.367447876,0.678023256,0.514951559,0.334814318,0.19620734,2.345376037,3.4,-1.49659065335573,-0.488020391619837
"272","Macrhybopsis aestivalis",9,4.199414519,0.667410396,0.407863696,0.277961121,0.342002815,0.564677053,0.298370739,0.154823819,2.938253753,3.2,0.698813970076615,0.639208399077504
"273","Macrhybopsis gelida",8.4,5.768760654,0.630173008,0.310073219,0.285716876,0.255713335,0.653875449,0.240723949,0.20479659,2.948607967,3.3,1.62649511862777,0.421952820709996
"274","Macrhybopsis meeki",11,4.602880356,0.617930646,0.23251461,0.336857304,0.311960568,0.588343979,0.264579204,0.159941517,3.128188611,3.3,0.760333939907788,-0.166546621512078
"275","Macrhybopsis storeriana",23,4.940166726,0.572636548,0.480922032,0.298414406,0.246384002,0.652439146,0.254063583,0.161946524,2.853970017,3.63,1.3000827229229,-0.0758835891109724
"276","Malapterurus electricus",122,4.455232794,0.80797162,0.119402985,0.771410143,0.327671642,0.800267552,0.446752347,0.110214182,1.518962963,2.93,2.58563968143286,0.630449484676249
"277","Marcusenius furcidens",32,3.182276236,0.406080847,0.249151163,0.298389113,0.12901938,0.356348177,0.284861694,0.123449926,3.876388662,3.1,-2.1234310332026,-2.02126829624516
"278","Marcusenius senegalensis",32.1,3.586778434,0.510265692,0.327282128,0.499992673,0.457115559044318,0.382644313,0.372444568,0.162499847,3.257459777,3.2,-1.09992366429298,-0.516878573776304
"279","Marcusenius ussheri",30.5,3.091270883,0.543287589,0.153772816,0.41877685,0.175331765,0.388013126,0.409361575,0.196551997,3.784210363,3.1,-1.81601582342142,-0.473232572410119
"280","Meda fulgida",9.1,4.654165322,0.64126485,0.5,0.508001624,0.329267857,0.583072166,0.262975959,0.190210291,3.23255814,3.2,0.780445825997901,1.32981409781516
"281","Megalancistrus parananus",60,4.647742671,0.678671102,0.212942738,0,0,0.84598614,0,0.406705893,2.485759448,2.75392241017586,0.0432214926556355,0.718323145578561
"282","Megaleporinus elongatus",50,3.662474812,0.496447955,0.433333333,0.467980114,0.246083333,0.441247849,0.182382444,0.153448885,3.23020573,2.5,-1.39251414875858,-0.816346594784133
"283","Megaleporinus macrocephalus",68.4,3.331926701,0.468228527,0.280553637,0.46489693,0.272187394,0.478723639,0.21490443,0.12959368,2.070328943,2.5,-1.37392818841659,-1.34452627227296
"284","Megaleporinus obtusidens",76,3.360849308,0.485040158,0.316909506,0.4494364,0.290916215,0.42320566,0.220401327,0.146263047,2.618335963,3.23,-1.33504867420328,-1.52458903539083
"285","Megaleporinus piavussu",38.02,3.102652657,0.414630101,0.311111111,0.399996098,0.267133333,0.439020107,0.199998049,0.170385976,3.169484317,2.6,-2.31234738996152,-1.11528295888765
"286","Megalops cyprinoides",150,3.852553742,0.574611447,0.494784572,0.632583891,0.631411057,0.572525514,0.150022442,0.169423708,3.683126263,3.48,-0.319492984856725,-0.635591494615283
"287","Melanotaenia duboulayi",11,3.254346131,0.463815295,0.43876184,0.453016646,0.385479587,0.581950732,0.527991684,0.200400711149687,3.019935806,2.9,-0.865404249456475,1.5826202690711
"288","Menidia beryllina",15,6.136203859,0.603131844,0.683736523,0.603413527,0.248445573,0.618933888,0.740748088,0.163359017,2.894710388,3.2,2.70938331203956,2.55953044597632
"289","Metynnis lippincottianus",16.4,1.593743418,0.56777756,0.309949515,0.554206071,0.142932667,0.398700429,0.322926179,0.179609156,4.254763035,3.5,-3.85073646435771,0.774722400779273
"290","Micropterus coosae",47,3.916524056,0.573535323,0.403768506,0.459335914,0.851643915,0.597356059,0.399290202,0.147357771,3.2,3.6,0.464613123188022,-0.0372590018236624
"291","Micropterus dolomieu",69,3.341377865,0.652592702,0.332552432,0.601273409,0.656669649,0.610300565,0.389737954,0.171659093,2.828317774,3.56,0.120980421320766,0.513099777202919
