"","Site","Country","HydroBasin","taxnovel","funcnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"1291","G7359","FRA",2080022030,FALSE,FALSE,0,64,0.8,0.18572178748654,-0.539395924770424
"1292","G7361","FRA",2080022030,FALSE,FALSE,0,196,0.56,-1.06432906563491,0.28439028243329
"1293","G7363","FRA",2080022080,FALSE,TRUE,0,144,1,1.22743083175442,-0.0401315567681734
"1294","G7365","FRA",2080022060,FALSE,FALSE,0,256,0.695652173913043,-0.357778583435832,0.658838558434978
"1295","G7367","FRA",2080021990,FALSE,FALSE,0,36,0.666666666666667,-0.508750908692046,-0.714138453571212
"1296","G7369","FRA",2080021990,FALSE,FALSE,0,225,0.652173913043478,-0.584237071320153,0.465373615834106
"1297","G7370","FRA",2080022080,FALSE,FALSE,0,400,0.833333333333333,0.359339961531187,1.55751442083903
"1298","G7372","FRA",2080022080,FALSE,FALSE,0,256,0.666666666666667,-0.508750908692046,0.658838558434978
"1299","G7373","FRA",2080021990,FALSE,FALSE,0,121,0.785714285714286,0.111313998610263,-0.183670062568821
"1300","G7376","FRA",2080021030,FALSE,FALSE,0,81,0.642857142857143,-0.632763890152508,-0.433302246569946
"1301","G7378","FRA",2080022060,FALSE,FALSE,0,100,1,1.22743083175442,-0.314726959169411
"1302","G7380","FRA",2080022030,FALSE,FALSE,0,256,0.695652173913043,-0.357778583435832,0.658838558434978
"1303","G7385","FRA",2080022030,FALSE,FALSE,0,81,0.5625,-1.05130770258157,-0.433302246569946
"1304","G7386","FRA",2080021970,FALSE,FALSE,0,169,0.722222222222222,-0.219387285284302,0.11588855823253
"1305","G7390","FRA",2080021970,FALSE,FALSE,0,81,0.5625,-1.05130770258157,-0.433302246569946
"1306","G7413","FRA",2080023010,FALSE,FALSE,0,36,1,1.22743083175442,-0.714138453571212
"1307","G7424","FRA",2080016510,FALSE,FALSE,0,25,0.416666666666667,-1.8108872140269,-0.782787304171522
"1308","G7436","FRA",2080021030,FALSE,FALSE,0,36,1,1.22743083175442,-0.714138453571212
"1309","G7438","FRA",2080016510,FALSE,FALSE,0,196,0.933333333333333,0.880194483665126,0.28439028243329
"1310","G7441","FRA",2080016510,FALSE,FALSE,0,121,0.846153846153846,0.426116182317589,-0.183670062568821
"1311","G7445","FRA",2080021030,FALSE,FALSE,0,36,1,1.22743083175442,-0.714138453571212
"1312","G7450","FRA",2080016510,FALSE,FALSE,0,25,0.625,-0.725773626247854,-0.782787304171522
"1313","G7454","FRA",2080023010,FALSE,FALSE,0,36,1,1.22743083175442,-0.714138453571212
"1314","G7513","FRA",2080021310,FALSE,FALSE,0,164,0.725925925925926,-0.200096377057119,0.0846845352323893
"1315","G7515","FRA",2080021300,FALSE,FALSE,0,292,0.597402597402597,-0.869515945667935,0.883507524035991
"1316","G7516","FRA",2080021280,TRUE,FALSE,0,136,0.875,0.576362679086995,-0.0900579935683985
"1317","G7517","FRA",2080021350,FALSE,FALSE,0,169,0.728104575163399,-0.188748783982305,0.11588855823253
"1318","G7519","FRA",2080021360,FALSE,FALSE,0,64,0.5,-1.37684177891528,-0.539395924770424
"1319","G7521","FRA",2080021360,TRUE,FALSE,0,361,0.76,-0.0226200213670357,1.31412304143793
"1320","G7523","FRA",2080021360,FALSE,FALSE,0,81,1,1.22743083175442,-0.433302246569946
"1321","G7524","FRA",2080021360,FALSE,FALSE,0,25,0.555555555555556,-1.08747815550753,-0.782787304171522
"1322","G7525","FRA",2080021350,FALSE,FALSE,0,81,1,1.22743083175442,-0.433302246569946
"1323","G7526","FRA",2080021350,FALSE,FALSE,0,81,0.818181818181818,0.280422609692711,-0.433302246569946
"1324","G7527","FRA",2080021110,FALSE,FALSE,0,25,0.555555555555556,-1.08747815550753,-0.782787304171522
"1325","G7530","FRA",2080021110,FALSE,FALSE,0,36,0.666666666666667,-0.508750908692046,-0.714138453571212
"1326","G7533","FRA",2080021780,FALSE,FALSE,0,196,0.7,-0.3351327346474,0.28439028243329
"1327","G7535","FRA",2080021110,FALSE,FALSE,0,196,0.636363636363636,-0.666585612368998,0.28439028243329
"1328","G7538","FRA",2080021350,FALSE,FALSE,0,36,0.857142857142857,0.483352942991648,-0.714138453571212
"1329","G7539","FRA",2080021560,FALSE,FALSE,0,484,0.88,0.602405405193692,2.08174200724139
"1330","G7540","FRA",2080021600,FALSE,TRUE,0,529,1,1.22743083175442,2.36257821424266
"1331","G7541","FRA",2080021110,FALSE,FALSE,0,225,0.652173913043478,-0.584237071320153,0.465373615834106
"1332","G7543","FRA",2080021690,FALSE,FALSE,0,256,0.941176470588235,0.921045818734455,0.658838558434978
"1333","G7545","FRA",2080021720,FALSE,FALSE,0,256,0.8,0.18572178748654,0.658838558434978
"1334","G7547","FRA",2080021110,FALSE,FALSE,0,185,0.756232686980609,-0.0422422415914723,0.21574143183298
"1335","G7548","FRA",2080021730,FALSE,FALSE,0,81,0.5,-1.37684177891528,-0.433302246569946
"1336","G7550","FRA",2080021110,FALSE,FALSE,0,144,0.571428571428571,-1.00480283453389,-0.0401315567681734
"1337","G7551","FRA",2080021610,FALSE,FALSE,0,81,1,1.22743083175442,-0.433302246569946
"1338","G7553","FRA",2080021560,FALSE,FALSE,0,64,1,1.22743083175442,-0.539395924770424
"1339","G7554","FRA",2080021560,FALSE,FALSE,0,49,0.875,0.576362679086995,-0.633007993770846
"1340","G7555","FRA",2080021260,FALSE,FALSE,0,36,0.857142857142857,0.483352942991648,-0.714138453571212
"1341","G7556","FRA",2080021260,FALSE,FALSE,0,64,1,1.22743083175442,-0.539395924770424
"1342","G7557","FRA",2080021260,FALSE,FALSE,0,36,0.857142857142857,0.483352942991648,-0.714138453571212
"1343","G7558","FRA",2080021260,FALSE,FALSE,0,36,0.857142857142857,0.483352942991648,-0.714138453571212
"1344","G7559","FRA",2080021220,FALSE,FALSE,0,121,0.846153846153846,0.426116182317589,-0.183670062568821
"1345","G7561","FRA",2080021110,FALSE,FALSE,0,441,0.954545454545455,0.990678776238993,1.81338740944018
"1346","G7563","FRA",2080021110,FALSE,FALSE,0,36,1,1.22743083175442,-0.714138453571212
"1347","G7565","FRA",2080021220,FALSE,FALSE,0,256,0.727272727272727,-0.193081501338143,0.658838558434978
"1348","G7568","FRA",2080021110,FALSE,FALSE,0,85,0.382995951417004,-1.98626265703961,-0.408339028169833
"1349","G7569","FRA",2080021220,FALSE,FALSE,0,361,0.904761904761905,0.731378905912572,1.31412304143793
"1350","G7602","FRA",2080023010,TRUE,FALSE,0,530,0.759259259259259,-0.0264782030124721,2.36881901884269
"1351","G7607","FRA",2080022150,TRUE,FALSE,0,121,0.6875,-0.400239549914142,-0.183670062568821
"1352","G7608","FRA",2080022150,FALSE,FALSE,0,144,0.631578947368421,-0.691506881370622,-0.0401315567681734
"1353","G7609","FRA",2080022150,FALSE,FALSE,0,49,0.368421052631579,-2.06217667645994,-0.633007993770846
"1354","G7611","FRA",2080022150,FALSE,FALSE,0,49,1,1.22743083175442,-0.633007993770846
"1355","G7612","FRA",2080021030,FALSE,FALSE,0,144,0.666666666666667,-0.508750908692046,-0.0401315567681734
"1356","G7613","FRA",2080021030,FALSE,FALSE,0,289,0.85,0.44614904855351,0.864785110235906
"1357","G7614","FRA",2080021030,TRUE,FALSE,0,25,0.384615384615385,-1.9778277659929,-0.782787304171522
"1358","G7616","FRA",2080022150,FALSE,FALSE,0,64,1,1.22743083175442,-0.539395924770424
"1359","G7618","FRA",2080022150,TRUE,FALSE,0,81,0.5625,-1.05130770258157,-0.433302246569946
"1360","G7619","FRA",2080022150,FALSE,FALSE,0,36,1,1.22743083175442,-0.714138453571212
"1361","G7625","FRA",2080021030,FALSE,FALSE,0,25,0.416666666666667,-1.8108872140269,-0.782787304171522
"1362","G7627","FRA",2080021030,FALSE,FALSE,0,49,0.4375,-1.70237585524899,-0.633007993770846
"1363","G7629","FRA",2080021030,FALSE,FALSE,0,121,0.578947368421053,-0.965640840388484,-0.183670062568821
"1364","G7631","FRA",2080021030,TRUE,FALSE,0,64,0.533333333333333,-1.20322360487063,-0.539395924770424
"1365","G7633","FRA",2080021030,FALSE,FALSE,0,64,1,1.22743083175442,-0.539395924770424
"1366","G7634","FRA",2080021030,FALSE,FALSE,0,81,0.642857142857143,-0.632763890152508,-0.433302246569946
"1367","G7635","FRA",2080021030,FALSE,FALSE,0,400,1,1.22743083175442,1.55751442083903
"1368","G7636","FRA",2080022150,FALSE,FALSE,0,36,1,1.22743083175442,-0.714138453571212
"1369","G7637","FRA",2080021030,TRUE,FALSE,0,49,0.411764705882353,-1.83641929844523,-0.633007993770846
"1370","G7639","FRA",2080021030,TRUE,FALSE,0,81,0.529411764705882,-1.2236492724053,-0.433302246569946
"1371","G7641","FRA",2080021030,FALSE,FALSE,0,144,0.666666666666667,-0.508750908692046,-0.0401315567681734
"1372","G7643","FRA",2080021030,FALSE,TRUE,0,361,1,1.22743083175442,1.31412304143793
"1373","G7644","FRA",2080021030,FALSE,FALSE,0,64,1,1.22743083175442,-0.539395924770424
"1374","G7645","FRA",2080021030,FALSE,FALSE,0,289,0.944444444444444,0.938067208346675,0.864785110235906
"1375","G7646","FRA",2080021030,TRUE,FALSE,0,169,0.684210526315789,-0.417372922352758,0.11588855823253
