SourceID,SiteID,TimeSeriesID,Protocol,Latitude,Longitude,BioRealm,HydroBasin,Country,Region,Province,Waterbody,
2,S12846,G77,Electrofishing,-20.51926,-50.92747,Neotropics,6080016970,BRA,SAO PAULO,APARECIDA DOESTE,AGUA RUIM,
2,S12847,G78,Electrofishing,-20.20478,-49.9607,Neotropics,6080016970,BRA,SAO PAULO,ALVARES FLORENCE,UNNAMED TRIBUTARY CORREGO TRES LAGOAS,
2,S12830,G61,Electrofishing,-20.63182,-50.02195,Neotropics,6080016970,BRA,SAO PAULO,NHANDEARA,CORREGO CABECEIRA COMPRIDA,
2,S12848,G79,Electrofishing,-20.37231,-50.05081,Neotropics,6080016970,BRA,SAO PAULO,VALENTIM GENTIL,CORREGO FEIO,
2,S12849,G80,Electrofishing,-20.13615,-50.18677,Neotropics,6080016970,BRA,SAO PAULO,MACEDONIA,CORREGO DA CAPITUVA,
2,S12850,G81,Electrofishing,-20.08817,-50.20741,Neotropics,6080016970,BRA,SAO PAULO,MACEDONIA,CORREGO COMPRIDO,
2,S12851,G82,Electrofishing,-19.97309,-50.44775,Neotropics,6080016970,BRA,SAO PAULO,POPULINA,UNNAMED TRIBUTARY RIBEIRAO SANTA RITA,
2,S12852,G83,Electrofishing,-20.24395,-50.48533,Neotropics,6080016970,BRA,SAO PAULO,VITORIA BRASIL,CORREGO DO VEADAO,
2,S12853,G84,Electrofishing,-20.15534,-50.43803,Neotropics,6080016970,BRA,SAO PAULO,TURMALINA,CORREGO DO DESENGANO,
2,S12854,G85,Electrofishing,-20.16881,-50.4933,Neotropics,6080016970,BRA,SAO PAULO,VITORIA BRASIL,UNNAMED TRIBUTARY CORREGO DA HELENA,
2,S12855,G86,Electrofishing,-20.12915,-50.49183,Neotropics,6080016970,BRA,SAO PAULO,DULCINOPOLIS,UNNAMED TRIBUTARY CORREGO ARRANCADO,
2,S12856,G87,Electrofishing,-20.14278,-50.38033,Neotropics,6080016970,BRA,SAO PAULO,ESTRELA DO OESTE,UNNAMED TRIBUTARY RIBEIRAO SANTA RITA,
2,S12857,G88,Electrofishing,-20.22245,-50.68821,Neotropics,6080016970,BRA,SAO PAULO,SANTA SALETE,CORREGO DOS ACACIOS,
