"","Species","troph_level","troph_cat"
"63","Enteromius trispilos",3,"Est"
"64","Etheostoma asprigene",3.3,"Est"
"65","Etheostoma chlorobranchium",3.4,"Est"
"66","Etheostoma chlorosomum",3.2,"Est"
"67","Etheostoma cragini",3.2,"Est"
"68","Etheostoma fricksium",3.3,"Est"
"69","Etheostoma fusiforme",3.2,"Est"
"70","Etheostoma gracile",3.2,"Est"
"71","Etheostoma histrio",3.3,"Est"
"72","Etheostoma inscriptum",3.3,"Est"
"73","Etheostoma juliae",3.3,"Est"
"74","Etheostoma lepidum",3.3,"Est"
"75","Etheostoma proeliare",3.2,"Est"
"76","Etheostoma radiosum",3.3,"Est"
"77","Etheostoma serrifer",3.3,"Est"
"78","Etheostoma vitreum",3.3,"Est"
"79","Etheostoma vulneratum",3.3,"Est"
"80","Etheostoma whipplei",3.3,"Est"
"81","Etheostoma zonale",3.3,"Est"
"82","Fundulus catenatus",3.4,"Est"
"83","Fundulus dispar",3.2,"Est"
"84","Fundulus lineolatus",3.2,"Est"
"85","Fundulus olivaceus",3.2,"Est"
"86","Fundulus sciadicus",3.2,"Est"
"87","Fundulus stellifer",3.4,"Est"
"88","Fundulus zebrinus",3.2,"Est"
"89","Galeocharax knerii",4.1,"Est"
"90","Geophagus sveni",2.3,"Est"
"91","Gobio occitaniae",3.2,"Est"
"92","Gobiomorphus coxii",3.4,"Est"
"93","Gymnogobius opperiens",3.2,"Est"
"94","Gymnogobius petschiliensis",3.2,"Est"
"95","Gymnotus inaequilabiatus",3.5,"Est"
"96","Gymnotus pantanal",3.3,"Est"
"97","Gymnotus paraguensis",3.3,"Est"
"98","Gymnotus sylvius",3.4,"Est"
"99","Hemibrycon dentatus",3,"Est"
"100","Hemiodus orthonops",2.6,"Est"
"101","Heterobranchus bidorsalis",3.7,"Est"
"102","Heterobranchus isopterus",3.7,"Est"
"103","Hippopotamyrus pictus",3.2,"Est"
"104","Hybopsis amnis",2.9,"Est"
"105","Hypentelium etowanum",3,"Est"
"106","Hypophthalmus oremaculatus",3.4,"Est"
"107","Hypostomus albopunctatus",NA,"Est"
"108","Hypostomus cochliodon",NA,"Est"
"109","Hypostomus microstomus",NA,"Est"
"110","Hypostomus regani",NA,"Est"
"111","Hypostomus strigaticeps",NA,"Est"
"112","Hypostomus ternetzi",NA,"Est"
"113","Labeo roseopunctatus",NA,"Est"
"114","Labeo senegalensis",NA,"Est"
"115","Labeobarbus wurtzi",3.2,"Est"
"116","Lasiancistrus caucanus",NA,"Est"
"117","Lepisosteus platostomus",3.9,"Est"
"118","Lepomis marginatus",3.3,"Est"
"119","Lepomis microlophus",3.5,"Est"
"120","Lepomis miniatus",3.4,"Est"
"121","Lepomis punctatus",3.4,"Est"
"122","Lepthoplosternum pectorale",3,"Est"
"123","Leuciscus burdigalensis",2.8,"Est"
"124","Loricariichthys rostratus",2.6,"Est"
"125","Luxilus pilsbryi",3,"Est"
"126","Maccullochella mariensis",4,"Est"
"127","Macrhybopsis gelida",3.3,"Est"
"128","Macrhybopsis meeki",3.3,"Est"
"129","Marcusenius furcidens",3.1,"Est"
"130","Marcusenius ussheri",3.1,"Est"
"131","Mastacembelus nigromarginatus",3.9,"Est"
"132","Megaleporinus macrocephalus",2.5,"Est"
"133","Megaleporinus piavussu",2.6,"Est"
"134","Megalonema platanum",4.1,"Est"
"135","Melanotaenia duboulayi",2.9,"Est"
"136","Metynnis lippincottianus",3.5,"Est"
"137","Micropterus coosae",3.6,"Est"
"138","Moenkhausia gracilima",3.3,"Est"
"139","Mormyrops breviceps",3.3,"Est"
"140","Mormyrus hasselquistii",3.2,"Est"
"141","Morone mississippiensis",4.1,"Est"
"142","Moxostoma collapsum",3.1,"Est"
"143","Moxostoma congestum",3.1,"Est"
"144","Moxostoma lachneri",3.1,"Est"
"145","Moxostoma pappillosum",3.1,"Est"
"146","Moxostoma poecilurum",3.1,"Est"
"147","Myloplus tiete",NA,"Est"
"148","Notropis amabilis",2.9,"Est"
"149","Notropis amoenus",2.8,"Est"
"150","Notropis atrocaudalis",2.9,"Est"
"151","Notropis bairdi",2.9,"Est"
"152","Notropis cummingsae",2.9,"Est"
"153","Notropis girardi",2.9,"Est"
"154","Notropis greenei",2.9,"Est"
"155","Notropis hypsilepis",2.9,"Est"
"156","Notropis jemezanus",2.9,"Est"
"157","Notropis leuciodus",2.9,"Est"
"158","Notropis longirostris",2.9,"Est"
"159","Notropis lutipinnis",2.9,"Est"
"160","Notropis nubilus",2.8,"Est"
"161","Notropis ortenburgeri",2.9,"Est"
"162","Notropis percobromus",2.9,"Est"
"163","Notropis perpallidus",2.9,"Est"
"164","Notropis petersoni",2.9,"Est"
"165","Notropis potteri",2.8,"Est"
"166","Notropis sabinae",2.9,"Est"
"167","Notropis shumardi",2.8,"Est"
"168","Notropis simus",2.8,"Est"
"169","Notropis spectrunculus",2.9,"Est"
"170","Notropis suttkusi",2.9,"Est"
"171","Notropis telescopus",2.8,"Est"
"172","Notropis topeka",2.9,"Est"
"173","Notropis wickliffi",2.9,"Est"
"174","Noturus eleutherus",3.3,"Est"
"175","Noturus exilis",3.4,"Est"
"176","Noturus leptacanthus",3.3,"Est"
"177","Noturus placidus",3.3,"Est"
"178","Oncorhynchus gilae",3.6,"Est"
"179","Ossancora eigenmanni",2.8,"Est"
"180","Parachondrostoma miegii",2.9,"Est"
"181","Parodon magdalenensis",2.3,"Est"
"182","Parodon nasus",2.3,"Est"
"183","Percalates novemaculeatus",3.4,"Est"
"184","Percina aurantiaca",3.5,"Est"
"185","Percina carbonaria",3.4,"Est"
"186","Percina evides",3.4,"Est"
"187","Percina macrolepida",3.4,"Est"
"188","Percina nevisense",3.4,"Est"
"189","Percina nigrofasciata",3.4,"Est"
"190","Percina peltata",3.4,"Est"
"191","Percina roanoka",3.3,"Est"
"192","Percina squamata",3.4,"Est"
"193","Petrocephalus pellegrini",3.2,"Est"
"194","Philypnodon macrostomus",3.1,"Est"
"195","Phoxinus septimaniae",3,"Est"
"196","Pimelodella avanhandavae",3.6,"Est"
"197","Pimelodella taenioptera",3.5,"Est"
"198","Pimelodus microstoma",3.3,"Est"
"199","Pimelodus mysteriosus",3.2,"Est"
"200","Pimelodus ornatus",3.3,"Est"
"201","Pimephales tenellus",2.7,"Est"
"202","Pimephales vigilax",2.6,"Est"
"203","Platydoras armatulus",2.2,"Est"
"204","Proterorhinus semilunaris",3.3,"Est"
"205","Pseudaspius hakonensis",3.5,"Est"
"206","Pseudaspius sachalinensis",3.5,"Est"
"207","Pseudomugil mellis",3.2,"Est"
"208","Pseudopimelodus mangurus",3.9,"Est"
"209","Pterygoplichthys ambrosettii",NA,"Est"
"210","Pungitius sinensis",3.5,"Est"
"211","Pungitius tymensis",3.4,"Est"
"212","Raiamas nigeriensis",3.3,"Est"
"213","Raiamas senegalensis",3.4,"Est"
"214","Redigobius macrostoma",3.4,"Est"
"215","Rhamphichthys hahni",3.2,"Est"
"216","Rhinelepis aspera",NA,"Est"
"217","Rhynchocypris lagowskii",3.5,"Est"
"218","Salminus hilarii",2.7,"Est"
"219","Schizodon altoparanae",2.5,"Est"
"220","Schizodon borellii",2.4,"Est"
"221","Squalius laietanus",3.3,"Est"
"222","Steindachnerina brevipinna",NA,"Est"
"223","Synodontis bastiani",2.9,"Est"
"224","Synodontis comoensis",2.9,"Est"
"225","Synodontis koensis",2.9,"Est"
"226","Synodontis punctifer",2.9,"Est"
"227","Zungaro jahu",4.5,"Est"
"228","Agosia chrysogaster",2.9,"Est"
"229","Ambassis marianus",3.4,"Est"
"230","Brycon orbignyanus",2.7,"Est"
"231","Campostoma pauciradii",NA,"Est"
"232","Catostomus discobolus",2.8,"Est"
"233","Catostomus occidentalis",2.8,"Est"
"234","Cichlasoma paranaense",3.3,"Est"
"235","Cobitis taenia",3.3,"Est"
"236","Cyprinella lepida",3.1,"Est"
"237","Cyprinella monacha",3.2,"Est"
"238","Cyprinella proserpina",3.1,"Est"
"239","Cyprinella whipplei",3.2,"Est"
"240","Dionda serena",2.9,"Est"
"241","Eigenmannia virescens",3.2,"Est"
"242","Gerres subfasciatus",3.3,"Est"
"243","Gila atraria",2,"Est"
"244","Gila nigra",2,"Est"
"245","Gila robusta",2,"Est"
"246","Hybognathus nuchalis",NA,"Est"
"247","Hybognathus placitus",NA,"Est"
"248","Hypostomus commersoni",NA,"Est"
"249","Labeo coubie",2,"Est"
"250","Leiopotherapon unicolor",4.1,"Est"
"251","Lucania parva",3.2,"Est"
"252","Luxilus cardinalis",3,"Est"
"253","Luxilus coccogenis",3,"Est"
"254","Luxilus zonistius",3,"Est"
"255","Lythrurus fumeus",3.2,"Est"
"256","Meda fulgida",3.2,"Est"
"257","Megalancistrus parananus",NA,"Est"
"258","Megaleporinus elongatus",2.5,"Est"
"259","Menidia audens",3.2,"Est"
"260","Menidia beryllina",3.2,"Est"
"261","Nocomis leptocephalus",3.1,"Est"
"262","Nocomis raneyi",3.1,"Est"
"263","Noturus albater",3.3,"Est"
"264","Noturus nocturnus",3.4,"Est"
"265","Percina phoxocephala",3.4,"Est"
"266","Phenacobius crassilabrum",2.9,"Est"
"267","Phenacobius mirabilis",2.9,"Est"
"268","Phoxinus bigerri",3,"Est"
"269","Pteronotropis hypselopterus",3,"Est"
"270","Pteronotropis stonei",3,"Est"
"271","Rhinichthys cobitis",3,"Est"
"272","Rhinodoras dorbignyi",2.7,"Est"
"273","Romanogobio vladykovi",3.4,"Est"
"274","Semotilus thoreauianus",3.5,"Est"
"275","Trinectes maculatus",2.9,"Est"
"276","Abramis brama",3.05,"Diet"
"277","Acipenser transmontanus",3.25,"Diet"
"278","Acrocheilus alutaceus",2.13,"Diet"
"279","Alosa alosa",2.95,"Diet"
"280","Alosa fallax",4.03,"Diet"
"281","Alosa pseudoharengus",3.39,"Diet"
"282","Alosa sapidissima",3.48,"Diet"
"283","Ambloplites rupestris",3.43,"Diet"
"284","Ameiurus melas",3.81,"Diet"
"285","Ameiurus nebulosus",3.68,"Diet"
"286","Anguilla anguilla",3.55,"Diet"
"287","Anguilla australis",4.28,"Diet"
"288","Anguilla rostrata",3.83,"Diet"
"289","Barbatula barbatula",3.28,"Diet"
"290","Blicca bjoerkna",3.17,"Diet"
"291","Brycinus nurse",2.46,"Diet"
"292","Bryconalestes longipinnis",2.22,"Diet"
"293","Callichthys callichthys",3.27,"Diet"
"294","Campostoma anomalum",2,"Diet"
"295","Campostoma oligolepis",2,"Diet"
"296","Carassius auratus",2,"Diet"
"297","Carassius gibelio",2.47,"Diet"
"298","Catostomus catostomus",2.54,"Diet"
"299","Catostomus commersonii",2.82,"Diet"
"300","Chromidotilapia guntheri",2.6,"Diet"
"301","Clarias gariepinus",3.76,"Diet"
"302","Coptodon zillii",2.51,"Diet"
"303","Coregonus lavaretus",3.13,"Diet"
"304","Cottus gobio",3.23,"Diet"
"305","Culaea inconstans",3.19,"Diet"
"306","Cyprinella spiloptera",2.83,"Diet"
"307","Cyprinus carpio",3.06,"Diet"
"308","Dorosoma petenense",2.76,"Diet"
"309","Esox lucius",4.07,"Diet"
"310","Esox masquinongy",4.5,"Diet"
"311","Etheostoma exile",3.52,"Diet"
"312","Fundulus diaphanus",3.3,"Diet"
"313","Galaxias maculatus",3.16,"Diet"
"314","Gambusia affinis",3.07,"Diet"
"315","Gambusia holbrooki",3.1,"Diet"
"316","Gasterosteus aculeatus",3.31,"Diet"
"317","Hiodon alosoides",3.19,"Diet"
"318","Hoplias malabaricus",4.5,"Diet"
"319","Hoplosternum littorale",2.74,"Diet"
"320","Hydrocynus vittatus",4.41,"Diet"
"321","Hypostomus ancistroides",2,"Diet"
"322","Hypseleotris klunzingeri",3.19,"Diet"
"323","Ictalurus punctatus",4.16,"Diet"
"324","Lates niloticus",4.48,"Diet"
"325","Lepomis auritus",3.24,"Diet"
"326","Lepomis gibbosus",3.25,"Diet"
"327","Lepomis macrochirus",3.24,"Diet"
"328","Leuciscus leuciscus",2.87,"Diet"
"329","Lota lota",3.84,"Diet"
"330","Luxilus cornutus",2.75,"Diet"
"331","Marcusenius senegalensis",3.2,"Diet"
"332","Megalops cyprinoides",3.48,"Diet"
"333","Micropterus dolomieu",3.56,"Diet"
"334","Micropterus salmoides",3.84,"Diet"
"335","Morone saxatilis",4.65,"Diet"
"336","Neoarius graeffei",3.58,"Diet"
"337","Neogobius fluviatilis",3.41,"Diet"
"338","Neogobius melanostomus",3.3,"Diet"
"339","Notemigonus crysoleucas",2.65,"Diet"
"340","Notropis hudsonius",2.11,"Diet"
"341","Notropis volucellus",2.98,"Diet"
"342","Oncorhynchus mykiss",4.08,"Diet"
"343","Oncorhynchus tshawytscha",4.4,"Diet"
"344","Oreochromis aureus",2.06,"Diet"
"345","Oreochromis mossambicus",2.17,"Diet"
"346","Oreochromis niloticus",2,"Diet"
"347","Osmerus mordax",3,"Diet"
"348","Perca flavescens",3.67,"Diet"
"349","Perca fluviatilis",4.35,"Diet"
"350","Petrocephalus bovei",3.25,"Diet"
"351","Phoxinus phoxinus",3.2,"Diet"
"352","Pimephales notatus",2.66,"Diet"
"353","Pimephales promelas",2.42,"Diet"
"354","Plagioscion squamosissimus",4.35,"Diet"
"355","Platichthys flesus",3.32,"Diet"
"356","Platygobio gracilis",4.17,"Diet"
"357","Pomoxis annularis",4.39,"Diet"
"358","Prosopium williamsoni",3.66,"Diet"
"359","Psalidodon fasciatus",3.03,"Diet"
"360","Pseudorasbora parva",3.06,"Diet"
"361","Ptychocheilus oregonensis",4.21,"Diet"
"362","Pungitius pungitius",3.32,"Diet"
"363","Pylodictis olivaris",3.78,"Diet"
"364","Rhamdia quelen",3.92,"Diet"
"365","Rutilus rutilus",2.96,"Diet"
"366","Salmo salar",4.5,"Diet"
"367","Salmo trutta",3.36,"Diet"
"368","Salvelinus alpinus",4.39,"Diet"
"369","Salvelinus fontinalis",3.31,"Diet"
"370","Salvelinus leucomaenis",4.35,"Diet"
"371","Sander vitreus",4.47,"Diet"
"372","Scaphirhynchus platorynchus",3.5,"Diet"
"373","Schilbe mystus",3.45,"Diet"
"374","Semotilus atromaculatus",4.02,"Diet"
"375","Silurus glanis",4.36,"Diet"
"376","Squalius cephalus",2.73,"Diet"
"377","Tinca tinca",3.69,"Diet"
"378","Umbra limi",3.67,"Diet"
"379","Vimba vimba",3.27,"Diet"
"380","Acanthopagrus australis",3.1,"Food"
"381","Achondrostoma arcasii",3.5,"Food"
"382","Acipenser fulvescens",3.27999997138977,"Food"
"383","Ageneiosus inermis",3.98,"Food"
"384","Ageneiosus ucayalensis",3.66,"Food"
"385","Alburnoides bipunctatus",2.89,"Food"
"386","Alburnus alburnus",2.70000004768372,"Food"
"387","Alestes baremoze",3.05,"Food"
"388","Alosa chrysochloris",3.89,"Food"
"389","Ambassis agassizii",3.3,"Food"
"390","Ameiurus catus",3.18,"Food"
"391","Ameiurus natalis",3.33,"Food"
"392","Amia calva",3.81,"Food"
"393","Amniataba percoides",2.79,"Food"
"394","Anguilla reinhardtii",3.55,"Food"
"395","Aphredoderus sayanus",3.14,"Food"
"396","Aplodinotus grunniens",3.36,"Food"
"397","Apteronotus albifrons",3.03,"Food"
"398","Astyanax mexicanus",3.23,"Food"
"399","Atherina presbyter",3.67,"Food"
"400","Atractosteus spatula",4.02,"Food"
"401","Auchenoglanis occidentalis",2.9,"Food"
"402","Awaous acritosus",2,"Food"
"403","Ballerus ballerus",3.21,"Food"
"404","Barbus barbus",3.1,"Food"
"405","Barbus meridionalis",2.93,"Food"
"406","Brycinus imberi",3.26,"Food"
"407","Brycinus macrolepidotus",2.75,"Food"
"408","Bryconamericus stramineus",2.73,"Food"
"409","Carassius carassius",3.11,"Food"
"410","Carpiodes carpio",2,"Food"
"411","Carpiodes cyprinus",2.59,"Food"
"412","Catostomus columbianus",2.77,"Food"
"413","Catostomus macrocheilus",3.13,"Food"
"414","Catostomus platyrhynchus",2.30999994277954,"Food"
"415","Centrarchus macropterus",3.18,"Food"
"416","Chelon auratus",2.84,"Food"
"417","Chelon labrosus",2.59,"Food"
"418","Chelon ramada",2.34,"Food"
"419","Chondrostoma nasus",2,"Food"
"420","Chrysichthys auratus",3.66,"Food"
"421","Chrysichthys maurus",2.69,"Food"
"422","Chrysichthys nigrodigitatus",3.17,"Food"
"423","Clarias anguillaris",3.35,"Food"
"424","Clarotes laticeps",3.14,"Food"
"425","Clinostomus funduloides",2.74,"Food"
"426","Coregonus albula",3.05999994277954,"Food"
"427","Cottus bairdii",3.29,"Food"
"428","Cottus cognatus",3.37,"Food"
"429","Cottus poecilopus",2.98,"Food"
"430","Cottus rhotheus",3.37,"Food"
"431","Craterocephalus marjoriae",2.93,"Food"
"432","Craterocephalus stercusmuscarum",3.2,"Food"
"433","Crenicichla britskii",3.14,"Food"
"434","Ctenopharyngodon idella",2,"Food"
"435","Cyprinella analostana",3.2,"Food"
"436","Cyprinella lutrensis",2.82,"Food"
"437","Cyprinella venusta",3.2,"Food"
"438","Dicentrarchus labrax",3.47,"Food"
"439","Distichodus rostratus",2.57999992370605,"Food"
"440","Dorosoma cepedianum",2.4,"Food"
"441","Eigenmannia trilineata",3.05,"Food"
"442","Enneacanthus gloriosus",3.13,"Food"
"443","Enneacanthus obesus",3.3,"Food"
"444","Enteromius macrops",3.04,"Food"
"445","Epiplatys spilargyreius",3.1,"Food"
"446","Erimyzon oblongus",2.97,"Food"
"447","Erimyzon sucetta",3.05,"Food"
"448","Erythrinus erythrinus",3.73000001907349,"Food"
"449","Esox americanus",3.65,"Food"
"450","Esox niger",3.29,"Food"
"451","Etheostoma blennioides",3.36,"Food"
"452","Etheostoma caeruleum",3.3,"Food"
"453","Etheostoma flabellare",3.24,"Food"
"454","Etheostoma microperca",3.5,"Food"
"455","Etheostoma nigrum",3.19,"Food"
"456","Etheostoma olmstedi",2.92,"Food"
"457","Etheostoma spectabile",3.29,"Food"
"458","Exoglossum maxillingua",3.04,"Food"
"459","Fundulus notatus",3.08,"Food"
"460","Geophagus brasiliensis",2.57,"Food"
"461","Glossamia aprion",3.45,"Food"
"462","Gobio gobio",3.13,"Food"
"463","Gobio lozanoi",3.17,"Food"
"464","Gobiomorphus australis",3.74,"Food"
"465","Gymnocephalus cernua",3.25999999046326,"Food"
"466","Gymnogobius urotaenia",3.2,"Food"
"467","Hemichromis bimaculatus",3.93,"Food"
"468","Hemichromis fasciatus",3.18,"Food"
"469","Hemisorubim platyrhynchos",4.5,"Food"
"470","Hepsetus odoe",4.1,"Food"
"471","Herichthys cyanoguttatus",2.89,"Food"
"472","Heterobranchus longifilis",3.72,"Food"
"473","Hiodon tergisus",3.72,"Food"
"474","Hoplerythrinus unitaeniatus",3.41,"Food"
"475","Hybognathus argyritis",2,"Food"
"476","Hybognathus hankinsoni",3.09,"Food"
"477","Hybognathus regius",2,"Food"
"478","Hydrocynus forskahlii",4,"Food"
"479","Hypentelium nigricans",3.3,"Food"
"480","Hypophthalmichthys molitrix",2,"Food"
"481","Hypophthalmichthys nobilis",2.83,"Food"
"482","Hypseleotris compressa",2.87,"Food"
"483","Hypseleotris galii",3.35,"Food"
"484","Ictalurus furcatus",3.41,"Food"
"485","Ictiobus bubalus",3.01,"Food"
"486","Ictiobus cyprinellus",3.11,"Food"
"487","Ictiobus niger",3.42,"Food"
"488","Iheringichthys labrosus",2.94,"Food"
"489","Kuhlia rupestris",3.22,"Food"
"490","Labeo parvus",2,"Food"
"491","Labeobarbus bynni",3.1,"Food"
"492","Labidesthes sicculus",3.35,"Food"
"493","Lepisosteus oculatus",4,"Food"
"494","Lepisosteus osseus",4.19,"Food"
"495","Lepomis cyanellus",3.49,"Food"
"496","Lepomis gulosus",3.35,"Food"
"497","Lepomis humilis",3.61,"Food"
"498","Lepomis megalotis",3.64,"Food"
"499","Leporellus vittatus",3.2,"Food"
"500","Leporinus friderici",3.26,"Food"
"501","Leporinus lacustris",3.72,"Food"
"502","Leporinus octofasciatus",2,"Food"
"503","Leporinus striatus",2,"Food"
"504","Leucaspius delineatus",3.24,"Food"
"505","Leuciscus aspius",4.46999979019165,"Food"
"506","Leuciscus idus",3.79,"Food"
"507","Loricariichthys platymetopon",2.45000004768372,"Food"
"508","Luciobarbus graellsii",2.76,"Food"
"509","Luxilus chrysocephalus",3.27,"Food"
"510","Lythrurus umbratilis",3.03,"Food"
"511","Macquaria ambigua",3.69,"Food"
"512","Macrhybopsis aestivalis",3.2,"Food"
"513","Macrhybopsis storeriana",3.63,"Food"
"514","Malapterurus electricus",2.93,"Food"
"515","Megaleporinus obtusidens",3.23,"Food"
"516","Micropterus punctulatus",3.56,"Food"
"517","Minytrema melanops",3.43,"Food"
"518","Misgurnus anguillicaudatus",3.24,"Food"
"519","Misgurnus fossilis",3.4,"Food"
"520","Moenkhausia intermedia",2.65,"Food"
"521","Mogurnda adspersa",3.45,"Food"
"522","Mormyrops anguilloides",3.77,"Food"
"523","Mormyrus rume",2.48,"Food"
"524","Morone americana",3.14,"Food"
"525","Morone chrysops",4.04,"Food"
"526","Moxostoma anisurum",3.01,"Food"
"527","Moxostoma carinatum",3.56,"Food"
"528","Moxostoma duquesnei",3.04,"Food"
"529","Moxostoma erythrurum",3.04,"Food"
"530","Moxostoma macrolepidotum",3.13,"Food"
"531","Mugil cephalus",2.48,"Food"
"532","Mylopharyngodon piceus",3.19,"Food"
"533","Nannoperca oxleyana",3.2,"Food"
"534","Nematalosa erebi",2.8,"Food"
"535","Nocomis biguttatus",3.03,"Food"
"536","Nocomis micropogon",3.17,"Food"
"537","Notesthes robusta",3.12,"Food"
"538","Notropis atherinoides",2.8,"Food"
"539","Notropis blennius",2.7,"Food"
"540","Notropis boops",3.2,"Food"
"541","Notropis buccata",3.14,"Food"
"542","Notropis buchanani",2.9,"Food"
"543","Notropis dorsalis",2.86,"Food"
"544","Notropis photogenis",3.27,"Food"
"545","Notropis procne",2.78,"Food"
"546","Notropis rubellus",3.08,"Food"
"547","Notropis stramineus",2.37,"Food"
"548","Notropis texanus",2.49,"Food"
"549","Noturus flavus",3.24,"Food"
"550","Noturus gyrinus",3.34,"Food"
"551","Noturus insignis",3.31,"Food"
"552","Noturus miurus",3.5,"Food"
"553","Oncorhynchus clarkii",3.89,"Food"
"554","Oncorhynchus kisutch",4.18,"Food"
"555","Oncorhynchus masou",3.6,"Food"
"556","Opsopoeodus emiliae",2.88,"Food"
"557","Oxyeleotris lineolata",3.7,"Food"
"558","Pachychilon pictum",2.78,"Food"
"559","Papyrocranus afer",3.15,"Food"
"560","Parachanna obscura",3.41,"Food"
"561","Parachondrostoma toxostoma",2.79,"Food"
"562","Pellonula leonensis",3.29999995231628,"Food"
"563","Percina caprodes",3.43,"Food"
"564","Percina copelandi",3.34,"Food"
"565","Percina maculata",3.95,"Food"
"566","Percina sciera",3.2,"Food"
"567","Percina shumardi",3.36,"Food"
"568","Percopsis omiscomaycus",3.38,"Food"
"569","Petrocephalus bane",3.2,"Food"
"570","Philypnodon grandiceps",3.75,"Food"
"571","Piaractus mesopotamicus",2,"Food"
"572","Pimelodella gracilis",3.24,"Food"
"573","Pimelodus maculatus",2.87,"Food"
"574","Pinirampus pirinampu",4.5,"Food"
"575","Platycephalus fuscus",4.06,"Food"
"576","Plecoglossus altivelis",2.78,"Food"
"577","Poecilia caucana",2.58,"Food"
"578","Poecilia reticulata",3.2,"Food"
"579","Polyodon spathula",3.4,"Food"
"580","Polypterus endlicherii",3.77,"Food"
"581","Pomoxis nigromaculatus",3.81,"Food"
"582","Ponticola kessleri",3.47,"Food"
"583","Porochilus rendahli",3.6,"Food"
"584","Prochilodus lineatus",2.18,"Food"
"585","Proloricaria prolixa",3,"Food"
"586","Psalidodon schubarti",3.14,"Food"
"587","Pseudomugil signifer",2.86,"Food"
"588","Pseudoplatystoma corruscans",4.5,"Food"
"589","Pterodoras granulosus",2.55,"Food"
"590","Redigobius bikolanus",3.27,"Food"
"591","Retropinna semoni",2.78999996185303,"Food"
"592","Rhadinocentrus ornatus",2.98,"Food"
"593","Rhaphiodon vulpinus",4.5,"Food"
"594","Rhinichthys atratulus",3.05,"Food"
"595","Rhinichthys cataractae",3.2,"Food"
"596","Rhinichthys obtusus",3.13,"Food"
"597","Rhinichthys osculus",2.93,"Food"
"598","Rhodeus amarus",2.95,"Food"
"599","Rhodeus sericeus",2.11,"Food"
"600","Richardsonius balteatus",3.41000008583069,"Food"
"601","Roeboides descalvadensis",3.33,"Food"
"602","Salaria fluviatilis",3.5,"Food"
"603","Salminus brasiliensis",3.79,"Food"
"604","Salvelinus confluentus",3.72,"Food"
"605","Sander canadensis",4.06,"Food"
"606","Sander lucioperca",4.04,"Food"
"607","Sander volgensis",4.13,"Food"
"608","Sarmarutilus rubilio",2.84,"Food"
"609","Sarotherodon galilaeus",2.35000000635783,"Food"
"610","Satanoperca pappaterra",2.77,"Food"
"611","Scardinius erythrophthalmus",2.89,"Food"
