"","SpecCode","Suporder","Order","Family","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","Type.of.illustration","Reference","Species"
"7163",23342,"Teleostei","Characiformes","Characidae",12.7,2.853248429,0.506295405,0.409517794,0.465501179,0.615762975,0.465377973,0.132074901,0.143073156,2.19263625,"Photograph","Fricke R., Eschmeyer W. N. & Van der Laan R. (2021).  Eschmeyer’s catalog of fishes (http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatmain.asp)","Roeboides dayi"
"7164",52059,"Teleostei","Characiformes","Characidae",9,2.656548351,0.504732997,0.442588346,0.53883644,0.492445489,0.453558901,0.167424225,0.164694479,3.967018306,"Photograph","Ota, R. R., Deprá, G. D. C., Graça, W. J. D., & Pavanelli, C. S. (2018). Peixes da planície de inundaçao do alto rio Paraná e áreas adjacentes: revised, annotated and updated. Neotropical Ichthyology 16 (2).","Roeboides descalvadensis"
"7165",56658,"Teleostei","Characiformes","Characidae",7,2.757595009,0.540690326,0.500166646,0.555322758,0.557462732,0.446123588,0.20075156,0.198585332,3.289728114,"Photograph","Reserva Ecológica Guáquira (https://www.guaquira.net)","Roeboides dientonito"
"7166",61385,"Teleostei","Characiformes","Characidae",8.11,2.817540881,0.338432817,0.468464322,0.370518917,0.423858875,0.453291703,0.097121603,0.176947766,1.727561303,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Roeboides dispar"
"7167",12399,"Teleostei","Characiformes","Characidae",13,2.707749189,0.473933471,0.52052196,0.4976993,0.583966653,0.445420934,0.125480994,0.177202938,4.187846443,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Roeboides guatemalensis"
"7168",53357,"Teleostei","Characiformes","Characidae",8,2.820467676,0.50564938,0.500159693,0.472300092,0.497679749,0.454916071,0.187591877,0.156891087,NA,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Roeboides ilseae"
"7169",52022,"Teleostei","Characiformes","Characidae",20,2.327487717,0.538410453,0.418190476,0.557189137,0.71922619,0.453539226,0.153852384,0.240900634,3.775409305,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Roeboides microlepis"
"7170",25616,"Teleostei","Characiformes","Characidae",18,2.81158182,0.51844216,0.467072228,0.590022326,0.702727226,0.534632452,0.147531766,0.210113031,2.903493412,"Photograph","University of Louisiana at Lafayette (http://www.ucs.louisiana.edu/)","Roeboides myersii"
"7171",52061,"Teleostei","Characiformes","Characidae",13,2.797517544,0.475362447,0.497025221,0.439184263,0.481263637,0.46775533,0.114220873,0.173170179,3.845740061,"Photograph","Encyclopedia of Life, Smithsonian Museum (https://eol.org/)","Roeboides occidentalis"
"7172",53355,"Teleostei","Characiformes","Characidae",18.5,3.308499752,0.445504223,0.447347418,0.468002981,0.658215962,0.423248882,0.125047193,0.147959237,3.788290768,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Roeboides prognathus"
