"","Species","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","troph_level"
"181","Geophagus sveni",16.7,2.364716129,0.55483871,0.217573222,0.183870968,0.134150628,0.770967742,0.329032258,0.375050132,NA,2.3
"182","Gila atraria",56,3.880501807,0.515933978,0.287142857,0.347823198,0.294171429,0.465128641,0.268565277,0.17290411,1.697242424,2
"183","Gila robusta",43,4.046828101,0.530686304,0.409624867,0.442125988,0.662448024,0.424763302,0.282918167,0.172984279,3.969253932,2
"184","Gobio gobio",21,4.762858911,0.577226902,0.441565619,0.173043232,0.298397321,0.645405621,0.149628107,0.188987027,1.980330344,3.13
"185","Gobio lozanoi",13.5,4.067150532,0.565760778,0.453194952,0.243813835,0.206579198,0.558186245,0.216085034,0.192817962,2.564901738,3.17
"186","Gobiomorphus australis",18,4.446102372,0.420458756,0.55719713,0.384272514,0.419186421,0.505361133,0.560039072,0.139461769,1.874086181,3.74
"187","Gymnocephalus cernua",25,3.896945319,0.587632944,0.425700896,0.374367372,0.442228354,0.622460459,0.339661384,0.171503604,3.580847016,3.25999999046326
"188","Gymnogobius opperiens",8.05,6.49294164,0.635519244,0.228700731,0.39698352,1.417460401,0.724374531,0.746191281,0.201717805,1.881326045,3.2
"189","Gymnogobius urotaenia",14,4.872482402,0.81747162,0.289202703,0.769855963,0.856905405,0.752736298,0.746032876,0.212459604,2.182992394,3.2
"190","Gymnotus inaequilabiatus",99.8,8.054239669,0.603305785,0.244444444,0.636363636,0.5502,0.371900826,0.429752066,0.048434016,0,3.5
"191","Hemichromis bimaculatus",14,2.495709659,0.563070143,0.398148148,0.507024903,0.415018519,0.573461477,0.325927893,NA,2.109138789,3.93
"192","Hemichromis fasciatus",20.4,2.870678851,0.585921655,0.377140985,0.479745384,0.396625141,0.718888864,0.366170651,0.177462545,2.327003534,3.18
"193","Hemiodus orthonops",31,4.412055551,0.49721811,0.507240757,0.434411101,0.2835563,0.533360278,0.195225909,0.161254557,3.774037538,2.6
"194","Hemisorubim platyrhynchos",52,5.652199802,0.51894878,0.33244313,0.440012423,0.357571943,0.518255018,0.1807589,0.12795263,2.42327767,4.5
"195","Hepsetus odoe",70,4.63972347,0.61553196,0.380952381,0.587169166,0.801238095,0.612566361,0.164994263,0.152060975,3.486735728,4.1
"196","Herichthys cyanoguttatus",30,1.956152959,0.510841675,0.232890607,0.288011923,0.165540803,0.605051875,0.291918878,0.22855608,2.447045683,2.89
"197","Heterobranchus bidorsalis",150,5.683630854,0.545347791,0.283110758,0.486746532,1.243380412,0.369458781,0.369638714,0.153626598,1.742370115,3.7
"198","Heterobranchus isopterus",90,5.064957101,0.559402377,0.306122449,0.508818389,0.555163265,0.415016248,0.423570664,0.159072097,1.420927989,3.7
"199","Heterobranchus longifilis",150,6.662454545,0.647779221,0.141425649,0.483753247,0.680624012,0.558597403,0.382090909,0.136463493,1.656666061,3.72
"200","Hiodon alosoides",52,3.598696429,0.490035714,0.552563812,0.496686224,0.581852535,0.517107143,0.265329082,0.200002268,2.35770853,3.19
"201","Hiodon tergisus",47,3.22408072,0.534883163,0.518317472,0.555241849,0.527138944,0.476746011,0.232627095,0.173640555,2.389416329,3.72
"202","Hippopotamyrus pictus",30,3.746391662,0.47283693,0.299341634,0.303430454,0.135762554,0.48072524,0.360929885,0.190256249,5.460689015,3.2
"203","Hoplerythrinus unitaeniatus",40,4.297790302,0.640245602,0.3365304,0.592581689,0.873740559,0.570089852,0.221814391,0.172156766,1.412302501,3.41
"204","Hoplias malabaricus",65,4.549046686,0.627579773,0.449766854,0.551273484,0.893322379,0.61609049,0.200276471,0.164983452,1.595244174,4.5
"205","Hoplosternum littorale",26.3,3.281647835,0.472710833,0.262497137,0.220206021,NA,0.517056414,0.196514815,0.201942657,1.73590965,2.74
"206","Hybognathus argyritis",12,4.14891866,0.566259131,0.41965,0.400668573,0.376016667,0.50906561,0.387441351,0.187078224,2.801823828,2
"207","Hybognathus hankinsoni",10,4.453476403,0.504476533,0.496311024,0.457946635,0.359110236,0.533570849,0.252089119,0.161343928,2.129264894,3.09
"208","Hybognathus nuchalis",18,4.155014628,0.51302591,0.487453947,0.36422441,0.363901316,0.491360778,0.250028286,0.188111563,2.192302422,NA
"209","Hybognathus placitus",13,4.159109382,0.510220493,0.389530192,0.313039343,0.38854777,0.492883701,0.265317769,0.159188858,2.017136407,NA
"210","Hybognathus regius",15,4.463094485,0.543879785,0.536673913,0.481400118,0.275456522,0.504428369,0.229708638,0.172490581,2.925,2
"211","Hybopsis amnis",8.4,4.837032609,0.567961957,0.551068376,0.3655,0.370786325,0.635869565,0.179347826,0.175637687,2.666014974,2.9
"212","Hydrocynus forskahlii",78,3.801047926,0.656962938,0.234056832,0.524597414,0.697146911,0.501408451,0.17198481,0.133552202,3.705935225,4
"213","Hydrocynus vittatus",105,4.052474347,0.586491752,0.378145932,0.474607092,0.538482799,0.532605966,0.216963242,0.164752137,4.385335484,4.41
"214","Hypentelium etowanum",23,4.847871973,0.62226565,0.367527417,0.159953655,NA,0.669582438,0.182026272,0.171916981,3.706975253,3
"215","Hypentelium nigricans",61,4.921009516,0.626671919,0.392110668,0.085863689,NA,0.736614661,0.197764496,0.199559643,2.555307123,3.3
"216","Hypophthalmichthys molitrix",105,3.385020677,0.493936371,0.316898111,0.578815594,0.368427817,0.456579498,0.297775269,0.19777752,2.873008629,2
"217","Hypophthalmichthys nobilis",146,3.408390985,0.488693603,0.24572304,0.656005789,0.604370101,0.554376492,0.261572881,0.22218758,3.320970831,2.83
"218","Hypophthalmus oremaculatus",44,4.485805714,0.434285714,0.261538462,0.537142857,NA,0.371428571,0.417142857,0.157804427,3.521126761,3.4
"219","Hypostomus ancistroides",21,4.526757311,0.648815214,0.205717602,0,0,0.664030968,0,0.240534171,2.666345499,2
"220","Hypostomus regani",41,4.575434407,0.580320447,0.28667174,0,0,0.780840804,0,0.296740973,3.547962269,NA
"221","Hypseleotris compressa",12,2.92755514,0.52792715,0.442360435,0.493088736,0.316535433,0.498201661,0.458937922,NA,2.51258892,2.87
"222","Hypseleotris galii",6,4.512351673,0.49411735,0.575223554,0.516525643,0.503947869,0.53023291,0.422970707,NA,2.152899824,3.35
"223","Hypseleotris klunzingeri",6.5,3.723489737,0.523078995,0.430350119,0.486774327,0.429131043,0.690428361,0.465058862,NA,2.263981144,3.19
"224","Ictalurus furcatus",165,4.508068327,0.560972041,0.375399827,0.426891171,0.193244409,0.459405325,0.382099991,0.141592322,4.113898051,3.41
"225","Ictalurus punctatus",132,4.242870388,0.610576951,0.324100187,0.488390593,0.247652458,0.461683521,0.324333682,0.140295608,3.196117814,4.16
"226","Ictiobus bubalus",112,2.769376615,0.375575795,0.342734255,0.172781798,0.156460145,0.423947788,0.110580351,0.175652372,2.720124909,3.01
"227","Ictiobus cyprinellus",123,3.271618476,0.574395286,0.236382302,0.517014502,0.289722025,0.57477517,0.156740724,0.233957069,2.44818184,3.11
"228","Ictiobus niger",123,3.136200032,0.457732368,0.183521923,0.173701465,NA,0.583906342,0.161981981,0.170484405,2.900035806,3.42
"229","Iheringichthys labrosus",29.7,4.364879381,0.468722209,0.394337169,0.097558231,0.272896541,0.60183029,0.123718906,0.195650233,3.28393866,2.94
"230","Kuhlia rupestris",45,2.655421383,0.570299941,0.373605846,0.52490001,0.637899017,0.499289512,0.389402477,0.186832259,2.773835634,3.22
"231","Labeo coubie",75,3.420093002,0.45719643,0.323496111,0.259476487,0.252988663,0.510065252,0.171424286,0.218968818,2.807731768,2
"232","Labeo parvus",38,3.58001025,0.509374498,0.220350113,0.154030919,0.220350113,0.512572001,0.165872391,0.233442449,2.166653847,2
"233","Labeo senegalensis",65,3.319367307,0.591551961,0.19324147,0.281814807,0.205489939,0.465915956,0.290200246,0.198913201,1.670907379,NA
"234","Labeobarbus bynni",82,3.105529948,0.44147526,0.411882353,0.269644531,0.543565359,0.3984375,0.25,0.193187388,NA,3.1
"235","Labeobarbus wurtzi",24.5,2.608085729,0.416460463,0.286118079,0.26712447,0.37329965,0.36193326,0.258537459,0.203416507,2.29331597,3.2
"236","Labidesthes sicculus",13,6.972761485,0.471497705,0.628565998,0.559578758,0.486533503,0.644562285,0.528515611,0.157045455,3.546281655,3.35
"237","Lates niloticus",200,2.855017094,0.414952318,0.327294604,0.322023631,0.959259761,0.353913513,0.37460565,0.174819387,1.935588273,4.48
"238","Leiopotherapon unicolor",31,2.865350127,0.580084929,0.328617219,0.45387644,0.535554603,0.504844262,0.315546989,0.210113596,2.25940571,4.1
"239","Lepisosteus oculatus",150,8.520604278,0.335192513,0.517447799,0.163994652,3.722334993,0.413609626,0.221032086,0.083093326,2.375456884,4
"240","Lepisosteus osseus",200,10.64851028,0.657994382,0.417702324,0.497840077,2.913916818,0.808904572,0.302211477,0.054895659,2.965699566,4.19
"241","Lepisosteus platostomus",88,8.4750246,0.574628334,0.533264176,0.63119066,3.767481971,0.425579107,0.305284434,0.102870247,2.500614583,3.9
"242","Lepomis auritus",30.5,2.099393081,0.541623076,0.304964539,0.416639368,0.387744681,0.496665997,0.323861455,0.218364673,2.372348955,3.24
