"","Site","Country","HydroBasin","taxnovel","funcnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"1243","G7568","FRA",2080021110,FALSE,FALSE,0,85,0.382995951417004,-1.91584716064537,-0.41002713172371
"1244","G7569","FRA",2080021220,FALSE,FALSE,0,361,0.904761904761905,0.785771475309786,1.29018671227796
"1245","G7602","FRA",2080023010,TRUE,TRUE,1,530,0.759259259259259,0.0323826116809626,2.33125968197463
"1246","G7607","FRA",2080022150,TRUE,FALSE,0,121,0.6875,-0.339175077881435,-0.188260108593058
"1247","G7608","FRA",2080022150,FALSE,FALSE,0,144,0.631578947368421,-0.628725127981843,-0.0465756215929189
"1248","G7609","FRA",2080022150,FALSE,FALSE,0,49,0.368421052631579,-1.99131359904258,-0.631794154854362
"1249","G7611","FRA",2080022150,FALSE,FALSE,0,49,1,1.2788987315032,-0.631794154854362
"1250","G7612","FRA",2080021030,FALSE,TRUE,0,144,0.666666666666667,-0.447046665173744,-0.0465756215929189
"1251","G7613","FRA",2080021030,FALSE,FALSE,0,289,0.85,0.502223302998574,0.846652666016651
"1252","G7614","FRA",2080021030,TRUE,FALSE,0,25,0.384615384615385,-1.90746200082346,-0.779638836941463
"1253","G7616","FRA",2080022150,FALSE,FALSE,0,64,1,1.2788987315032,-0.539391228549923
"1254","G7618","FRA",2080022150,TRUE,FALSE,0,81,0.5625,-0.986404601635287,-0.43466791207156
"1255","G7619","FRA",2080022150,FALSE,FALSE,0,36,1,1.2788987315032,-0.711876690984875
"1256","G7625","FRA",2080021030,FALSE,FALSE,0,25,0.416666666666667,-1.74150571268145,-0.779638836941463
"1257","G7627","FRA",2080021030,FALSE,FALSE,0,49,0.4375,-1.63363412538914,-0.631794154854362
"1258","G7629","FRA",2080021030,FALSE,FALSE,0,121,0.578947368421053,-0.901242822193991,-0.188260108593058
"1259","G7631","FRA",2080021030,TRUE,FALSE,0,64,0.533333333333333,-1.13742482384452,-0.539391228549923
"1260","G7633","FRA",2080021030,FALSE,FALSE,0,64,1,1.2788987315032,-0.539391228549923
"1261","G7634","FRA",2080021030,FALSE,FALSE,0,81,0.642857142857143,-0.570328479222096,-0.43466791207156
"1262","G7635","FRA",2080021030,FALSE,FALSE,0,400,1,1.2788987315032,1.5304343206695
"1263","G7636","FRA",2080022150,FALSE,FALSE,0,36,1,1.2788987315032,-0.711876690984875
"1264","G7637","FRA",2080021030,TRUE,FALSE,0,49,0.411764705882353,-1.76688726263258,-0.631794154854362
"1265","G7639","FRA",2080021030,TRUE,FALSE,0,81,0.529411764705882,-1.15773006380542,-0.43466791207156
"1266","G7641","FRA",2080021030,FALSE,TRUE,0,144,0.666666666666667,-0.447046665173744,-0.0465756215929189
"1267","G7643","FRA",2080021030,FALSE,TRUE,0,361,1,1.2788987315032,1.29018671227796
"1268","G7644","FRA",2080021030,FALSE,FALSE,0,64,1,1.2788987315032,-0.539391228549923
"1269","G7645","FRA",2080021030,FALSE,FALSE,0,289,0.944444444444444,0.991241165390374,0.846652666016651
"1270","G7646","FRA",2080021030,TRUE,FALSE,0,169,0.684210526315789,-0.356207433769694,0.107429255581145
"1271","G7648","FRA",2080021030,TRUE,TRUE,1,196,0.777777777777778,0.128268467051904,0.273754522929134
"1272","G7649","FRA",2080021030,FALSE,FALSE,0,25,1,1.2788987315032,-0.779638836941463
"1273","G7651","FRA",2080021030,FALSE,FALSE,0,100,0.625,-0.662789839758361,-0.317624205419271
"1274","G7652","FRA",2080021030,FALSE,FALSE,0,25,0.714285714285714,-0.200483037077037,-0.779638836941463
"1275","G7653","FRA",2080021030,TRUE,FALSE,0,64,0.444444444444444,-1.59767692962504,-0.539391228549923
"1276","G7654","FRA",2080021030,TRUE,FALSE,0,36,0.428571428571429,-1.67986480565727,-0.711876690984875
"1277","G7656","FRA",2080021030,FALSE,FALSE,0,100,0.476190476190476,-1.43330117756057,-0.317624205419271
"1278","G7658","FRA",2080021030,FALSE,FALSE,0,256,0.842105263157895,0.461345648866752,0.643366228146887
"1279","G7662","FRA",2080021030,FALSE,FALSE,0,64,1,1.2788987315032,-0.539391228549923
"1280","G7663","FRA",2080021030,FALSE,FALSE,0,256,0.842105263157895,0.461345648866752,0.643366228146887
"1281","G7701","FRA",2080022150,FALSE,FALSE,0,425,0.853395061728395,0.519802376483247,1.68443919784356
"1282","G7702","FRA",2080022970,FALSE,FALSE,0,482,0.811645299145299,0.303628944855298,2.03557031780042
"1283","G7703","FRA",2080022970,TRUE,FALSE,0,269,0.852173913043478,0.513479468629076,0.7234487642774
"1284","G7710","FRA",2080022150,FALSE,FALSE,0,125,1,1.2788987315032,-0.163619328245207
"1285","G7713","FRA",2080022150,FALSE,FALSE,0,100,0.526315789473684,-1.17376051640614,-0.317624205419271
"1286","G7714","FRA",2080022970,FALSE,FALSE,0,121,0.578947368421053,-0.901242822193991,-0.188260108593058
"1287","G7715","BEL",2080022970,FALSE,FALSE,0,25,0.25,-2.60447841101992,-0.779638836941463
