"","Site","Country","HydroBasin","taxnovel","trophnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"137","G10308","SWE","2080033090",FALSE,FALSE,0,121,0.785714285714286,0.135400918076223,-0.139534129015697
"138","G10310","SWE","2080033010",FALSE,FALSE,0,121,0.6875,-0.374002840550788,-0.139534129015697
"139","G10311","SWE","2080033090",FALSE,FALSE,0,144,0.8,0.209496010240152,0.0126587663436921
"140","G10312","SWE","2080032600",FALSE,FALSE,0,25,0.833333333333333,0.382384558622653,-0.774774040080972
"141","G10313","SWE","2080033020",FALSE,FALSE,0,441,0.84,0.416962268299153,1.97793224120189
"142","G10319","SWE","2080033020",TRUE,FALSE,0,1024,0.744186046511628,-0.07999179170264,5.83569128444205
"143","G1032","USA","7080047060",TRUE,FALSE,0,557,0.896345811051693,0.709208632704011,2.74551380040576
"144","G10322","SWE","2080033020",TRUE,FALSE,0,729,0.613636363636364,-0.757108146625648,3.88365197439771
"145","G10326","SWE","2080033020",FALSE,FALSE,0,49,0.538461538461538,-1.14701413860716,-0.615964062314653
"146","G10328","SWE","2080033020",TRUE,FALSE,0,225,0.833333333333333,0.382384558622653,0.548642441305018
"147","G10329","SWE","2080033080",FALSE,TRUE,0,196,0.777777777777778,0.0942369779851517,0.356747051504049
"148","G1033","USA","7080047060",FALSE,FALSE,0,706,0.86228354978355,0.532539385545767,3.73145907903832
"149","G10330","SWE","2080033020",FALSE,FALSE,0,324,0.857142857142857,0.505876378895868,1.20373359959108
"150","G10334","SWE","2080033020",FALSE,FALSE,0,225,0.652173913043478,-0.5572271173692,0.548642441305018
"151","G10335","SWE","2080033080",FALSE,FALSE,0,100,0.833333333333333,0.382384558622653,-0.278492859561226
"152","G10336","SWE","2080033020",FALSE,FALSE,0,64,0.727272727272727,-0.167715368048941,-0.516707826210704
"153","G10337","SWE","2080033020",TRUE,FALSE,0,361,0.863636363636364,0.539555966243109,1.44856564864749
"154","G1034","USA","7080047060",FALSE,FALSE,0,522,0.835,0.391028986041778,2.51391591616321
